user_id,department,home_office,home_lat,home_lon,home_country,usual_os,usual_browser,login_start_hour,login_end_hour,mfa_enabled,vpn_habit
U0001,Finance,HQ_NewYork,40.7128,-74.006,USA,Windows_10,Firefox,7,17,True,False
U0002,Finance,Branch_Berlin,52.52,13.405,Germany,Windows_11,Chrome,7,18,True,False
U0003,Customer_Support,HQ_London,51.5074,-0.1278,UK,Windows_10,Safari,9,19,True,True
U0004,HR,Branch_Toronto,43.6532,-79.3832,Canada,macOS,Edge,7,18,False,True
U0005,Finance,Branch_Singapore,1.3521,103.8198,Singapore,macOS,Edge,9,19,True,False
U0006,Customer_Support,HQ_NewYork,40.7128,-74.006,USA,Windows_11,Edge,9,19,True,False
U0007,Engineering,Branch_Toronto,43.6532,-79.3832,Canada,macOS,Chrome,7,17,True,False
U0008,IT_Ops,HQ_London,51.5074,-0.1278,UK,macOS,Firefox,9,19,True,False
U0009,Finance,Branch_Berlin,52.52,13.405,Germany,Windows_10,Firefox,8,20,True,False
U0010,Customer_Support,HQ_London,51.5074,-0.1278,UK,Windows_11,Firefox,7,19,True,True
U0011,Executive,Branch_Toronto,43.6532,-79.3832,Canada,Windows_10,Safari,8,20,True,True
U0012,Customer_Support,Branch_Berlin,52.52,13.405,Germany,Ubuntu_22,Safari,8,18,False,True
U0013,R&D,HQ_NewYork,40.7128,-74.006,USA,Windows_11,Firefox,9,18,True,False
U0014,Finance,Branch_Singapore,1.3521,103.8198,Singapore,Ubuntu_22,Edge,9,17,True,True
U0015,Customer_Support,Branch_Sydney,-33.8688,151.2093,Australia,macOS,Chrome,8,20,True,True
U0016,Marketing,Branch_Berlin,52.52,13.405,Germany,Windows_11,Edge,9,18,True,False
U0017,Customer_Support,Branch_Sydney,-33.8688,151.2093,Australia,macOS,Safari,7,17,False,False
U0018,Marketing,HQ_London,51.5074,-0.1278,UK,Windows_10,Chrome,7,20,True,False
U0019,Customer_Support,Branch_Sydney,-33.8688,151.2093,Australia,Windows_10,Safari,9,18,True,False
U0020,Legal,HQ_London,51.5074,-0.1278,UK,macOS,Safari,9,19,True,False
U0021,Finance,HQ_London,51.5074,-0.1278,UK,Windows_11,Edge,7,18,True,True
