entity_id,entity_type,department,role,privilege_level,manager,home_office,home_lat,home_lon,home_country,home_asn,home_isp,usual_os,usual_browser,usual_auth_method,login_start_hour,login_end_hour,mfa_enabled,vpn_habit,works_weekends,schedule_type
U0001,user,Engineering,Department_Head,4,U0001,HQ_NewYork,40.7128,-74.006,USA,AS7018,AT&T_Corporate,macOS,Firefox,password,9,17,True,False,False,office_hours
U0002,user,Finance,Principal_Engineer,4,U0002,HQ_NewYork,40.7128,-74.006,USA,AS7018,AT&T_Corporate,Windows_11,Firefox,password,9,17,True,False,False,office_hours
U0003,user,HR,Principal_Engineer,4,U0003,HQ_London,51.5074,-0.1278,UK,AS5089,Virgin_Media_Business,RHEL_9,Edge,sso,7,18,True,True,False,office_hours
U0004,user,Sales,Principal_Engineer,4,U0004,HQ_NewYork,40.7128,-74.006,USA,AS7018,AT&T_Corporate,Ubuntu_22,Chrome,token,8,19,True,False,False,office_hours
U0005,user,Marketing,Principal_Engineer,4,U0005,HQ_NewYork,40.7128,-74.006,USA,AS7018,AT&T_Corporate,RHEL_9,Edge,certificate,9,17,True,True,False,office_hours
U0006,user,IT_Ops,Manager,4,U0006,Branch_Sydney,-33.8688,151.2093,Australia,AS1221,Telstra_Business,Windows_11,Safari,password,9,19,True,False,False,office_hours
U0007,user,Legal,Department_Head,4,U0007,Branch_Toronto,43.6532,-79.3832,Canada,AS812,Rogers_Business,RHEL_9,Firefox,token,7,18,True,True,False,office_hours
U0008,user,R&D,Department_Head,4,U0008,Branch_Berlin,52.52,13.405,Germany,AS3320,Deutsche_Telekom_Business,macOS,Chrome,password,7,19,True,True,False,office_hours
U0009,user,Customer_Support,Department_Head,4,U0009,Branch_Toronto,43.6532,-79.3832,Canada,AS812,Rogers_Business,Windows_10,Safari,token,9,20,True,True,False,office_hours
U0010,user,OT_Operations,Department_Head,4,U0010,Branch_Bengaluru,12.9716,77.5946,India,AS55836,Reliance_Jio_Business,RHEL_9,Safari,token,7,20,True,True,False,office_hours
U0011,user,OT_Operations,Support_Agent,1,U0010,Branch_Singapore,1.3521,103.8198,Singapore,AS9506,SingTel_Business,Ubuntu_22,Safari,certificate,8,19,False,False,True,office_hours
U0012,user,Finance,Specialist,2,U0002,Branch_Sydney,-33.8688,151.2093,Australia,AS1221,Telstra_Business,macOS,Chrome,password,7,20,True,False,False,office_hours
U0013,user,Customer_Support,Specialist,2,U0009,HQ_NewYork,40.7128,-74.006,USA,AS7018,AT&T_Corporate,RHEL_9,Firefox,password,7,17,True,False,False,office_hours
U0014,user,IT_Ops,Team_Lead,3,U0006,HQ_London,51.5074,-0.1278,UK,AS5089,Virgin_Media_Business,Windows_10,Chrome,password,8,17,False,False,False,office_hours
U0015,user,OT_Operations,Support_Agent,1,U0010,HQ_London,51.5074,-0.1278,UK,AS5089,Virgin_Media_Business,RHEL_9,Safari,sso,9,18,True,False,False,office_hours
U0016,user,IT_Ops,Support_Agent,1,U0006,Branch_Singapore,1.3521,103.8198,Singapore,AS9506,SingTel_Business,Windows_10,Firefox,password,7,18,True,True,False,office_hours
U0017,user,Engineering,Associate,1,U0001,Branch_Sydney,-33.8688,151.2093,Australia,AS1221,Telstra_Business,Windows_11,Firefox,password,8,18,True,False,False,office_hours
U0018,user,Executive,VP,5,,Branch_Sydney,-33.8688,151.2093,Australia,AS1221,Telstra_Business,Windows_10,Chrome,password,8,19,True,False,False,office_hours
U0019,user,OT_Operations,Specialist,2,U0010,HQ_NewYork,40.7128,-74.006,USA,AS7018,AT&T_Corporate,Ubuntu_22,Edge,sso,7,18,True,False,False,office_hours
U0020,user,HR,Associate,1,U0003,Branch_Sydney,-33.8688,151.2093,Australia,AS1221,Telstra_Business,Ubuntu_22,Chrome,password,9,17,False,False,False,office_hours
U0021,user,HR,Analyst,1,U0003,HQ_London,51.5074,-0.1278,UK,AS5089,Virgin_Media_Business,Windows_11,Firefox,token,8,19,False,False,False,office_hours
U0022,user,Customer_Support,Engineer,2,U0009,HQ_London,51.5074,-0.1278,UK,AS5089,Virgin_Media_Business,macOS,Firefox,sso,9,17,True,True,False,office_hours
U0023,user,Customer_Support,Senior_Specialist,3,U0009,HQ_London,51.5074,-0.1278,UK,AS5089,Virgin_Media_Business,RHEL_9,Chrome,sso,7,17,True,True,False,office_hours
U0024,user,Executive,CxO,5,,HQ_NewYork,40.7128,-74.006,USA,AS7018,AT&T_Corporate,Ubuntu_22,Edge,sso,7,19,True,False,False,office_hours
U0025,user,Marketing,Associate,1,U0005,HQ_NewYork,40.7128,-74.006,USA,AS7018,AT&T_Corporate,RHEL_9,Chrome,password,7,19,True,True,True,office_hours
U0026,user,Sales,Associate,1,U0004,Branch_Singapore,1.3521,103.8198,Singapore,AS9506,SingTel_Business,RHEL_9,Chrome,certificate,9,19,False,True,False,office_hours
U0027,user,Marketing,Associate,1,U0005,Branch_Toronto,43.6532,-79.3832,Canada,AS812,Rogers_Business,macOS,Edge,certificate,9,19,True,False,False,office_hours
U0028,user,R&D,Associate,1,U0008,HQ_NewYork,40.7128,-74.006,USA,AS7018,AT&T_Corporate,macOS,Chrome,password,7,19,True,False,False,office_hours
U0029,user,Customer_Support,Associate,1,U0009,Branch_Toronto,43.6532,-79.3832,Canada,AS812,Rogers_Business,RHEL_9,Chrome,sso,9,18,True,True,False,office_hours
U0030,user,Engineering,Senior_Engineer,3,U0001,Branch_Toronto,43.6532,-79.3832,Canada,AS812,Rogers_Business,Windows_11,Edge,biometric,8,18,False,True,False,office_hours
U0031,user,HR,Senior_Engineer,3,U0003,HQ_London,51.5074,-0.1278,UK,AS5089,Virgin_Media_Business,Ubuntu_22,Firefox,password,9,17,True,True,False,office_hours
U0032,user,Sales,Team_Lead,3,U0004,Branch_Bengaluru,12.9716,77.5946,India,AS55836,Reliance_Jio_Business,Windows_10,Firefox,password,7,20,True,False,False,office_hours
U0033,user,Marketing,Support_Agent,1,U0005,Branch_Singapore,1.3521,103.8198,Singapore,AS9506,SingTel_Business,Windows_11,Chrome,sso,8,18,True,False,True,office_hours
U0034,user,Executive,CxO,5,,Branch_Sydney,-33.8688,151.2093,Australia,AS1221,Telstra_Business,Ubuntu_22,Chrome,token,9,18,True,False,True,office_hours
U0035,user,Customer_Support,Specialist,2,U0009,Branch_Toronto,43.6532,-79.3832,Canada,AS812,Rogers_Business,macOS,Safari,password,9,19,True,False,False,office_hours
U0036,user,Marketing,Specialist,2,U0005,Branch_Singapore,1.3521,103.8198,Singapore,AS9506,SingTel_Business,Ubuntu_22,Edge,certificate,7,20,True,False,False,office_hours
U0037,user,HR,Engineer,2,U0003,Branch_Singapore,1.3521,103.8198,Singapore,AS9506,SingTel_Business,macOS,Edge,password,9,19,True,False,False,office_hours
U0038,user,R&D,Specialist,2,U0008,HQ_London,51.5074,-0.1278,UK,AS5089,Virgin_Media_Business,macOS,Edge,password,7,19,True,True,True,office_hours
U0039,user,Sales,Senior_Specialist,3,U0004,Branch_Sydney,-33.8688,151.2093,Australia,AS1221,Telstra_Business,Ubuntu_22,Safari,sso,9,18,True,False,False,office_hours
U0040,user,HR,Senior_Analyst,2,U0003,Branch_Sydney,-33.8688,151.2093,Australia,AS1221,Telstra_Business,Ubuntu_22,Firefox,password,9,20,True,True,False,office_hours
U0041,user,R&D,Analyst,1,U0008,Branch_Toronto,43.6532,-79.3832,Canada,AS812,Rogers_Business,Ubuntu_22,Safari,sso,9,20,False,False,False,office_hours
U0042,user,Marketing,Specialist,2,U0005,Branch_Bengaluru,12.9716,77.5946,India,AS55836,Reliance_Jio_Business,Windows_10,Edge,token,9,19,True,True,False,office_hours
U0043,user,Finance,Associate,1,U0002,Branch_Singapore,1.3521,103.8198,Singapore,AS9506,SingTel_Business,Windows_10,Chrome,token,8,20,True,True,False,office_hours
U0044,user,Executive,Director,5,,Branch_Sydney,-33.8688,151.2093,Australia,AS1221,Telstra_Business,Ubuntu_22,Chrome,sso,8,20,False,False,False,office_hours
U0045,user,Customer_Support,Senior_Analyst,2,U0009,Branch_Singapore,1.3521,103.8198,Singapore,AS9506,SingTel_Business,macOS,Safari,token,8,19,True,False,False,office_hours
U0046,user,R&D,Senior_Specialist,3,U0008,Branch_Berlin,52.52,13.405,Germany,AS3320,Deutsche_Telekom_Business,Ubuntu_22,Chrome,password,8,18,False,True,False,office_hours
U0047,user,IT_Ops,Analyst,1,U0006,Branch_Bengaluru,12.9716,77.5946,India,AS55836,Reliance_Jio_Business,macOS,Safari,password,7,20,True,False,False,office_hours
U0048,user,IT_Ops,Associate,1,U0006,Branch_Sydney,-33.8688,151.2093,Australia,AS1221,Telstra_Business,Windows_11,Firefox,password,7,18,True,False,False,office_hours
U0049,user,Sales,Analyst,1,U0004,Branch_Sydney,-33.8688,151.2093,Australia,AS1221,Telstra_Business,Windows_10,Chrome,biometric,7,19,True,True,False,office_hours
U0050,user,OT_Operations,Team_Lead,3,U0010,Branch_Singapore,1.3521,103.8198,Singapore,AS9506,SingTel_Business,Windows_11,Firefox,password,8,17,True,False,True,office_hours
U0051,user,Customer_Support,Analyst,1,U0009,HQ_NewYork,40.7128,-74.006,USA,AS7018,AT&T_Corporate,Windows_11,Safari,sso,7,20,False,False,False,office_hours
U0052,user,HR,Support_Agent,1,U0003,Branch_Berlin,52.52,13.405,Germany,AS3320,Deutsche_Telekom_Business,RHEL_9,Safari,token,9,19,True,True,False,office_hours
U0053,user,Marketing,Senior_Engineer,3,U0005,Branch_Sydney,-33.8688,151.2093,Australia,AS1221,Telstra_Business,RHEL_9,Safari,token,8,19,True,True,False,office_hours
U0054,user,IT_Ops,Support_Agent,1,U0006,Branch_Toronto,43.6532,-79.3832,Canada,AS812,Rogers_Business,RHEL_9,Chrome,token,7,17,True,False,False,office_hours
U0055,user,Sales,Specialist,2,U0004,Branch_Toronto,43.6532,-79.3832,Canada,AS812,Rogers_Business,Ubuntu_22,Chrome,password,7,20,True,True,False,office_hours
